Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Anthony Beauvillier,NSH,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,180,2015,1,28,20162017,N,66,9,15,24
Matt Beleskey,--,L,L,1988-06-07,Windsor,ON,CAN,CAN,72,207,2006,4,112,20082009,N,49,3,5,8
Pierre-Edouard Bellemare,SEA,L,L,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,82,4,4,8
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,5,129,20092010,N,77,26,43,69
Jordie Benn,--,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,71,4,13,17
Beau Bennett,--,R,R,1991-11-27,Gardena,CA,USA,USA,74,195,2010,1,20,20122013,N,65,8,11,19
Sam Bennett,FLA,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,81,13,13,26
Matt Benning,SJS,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,62,3,12,15
Patrice Bergeron,--,R,C,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,79,21,32,53
Patrik Berglund,--,L,C,1988-06-02,Västerås,--,SWE,SWE,76,215,2006,1,25,20082009,N,82,23,11,34
Bryan Bickell,--,L,L,1986-03-09,Bowmanville,ON,CAN,CAN,76,223,2004,2,41,20062007,N,11,1,0,1
Alex Biega,--,R,D,1988-04-04,Montréal,QC,CAN,CAN,70,195,2006,5,147,20142015,N,36,0,3,3
Kevin Bieksa,--,R,D,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,20052006,N,81,3,11,14
Anthony Bitetto,--,L,D,1990-07-15,Island Park,NY,USA,USA,73,222,2010,6,168,20142015,N,29,0,7,7
Oliver Bjorkstrand,SEA,R,R,1995-04-10,Herning,--,DNK,DNK,72,175,2013,3,89,20152016,N,26,6,7,13
Nick Bjugstad,ARI,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,1,19,20122013,N,54,7,7,14
Joseph Blandisi,--,L,C,1994-07-18,Markham,ON,CAN,CAN,72,184,2012,6,162,20152016,N,27,3,6,9
Anton Blidh,NYR,L,L,1995-03-14,Molnlycke,--,SWE,SWE,73,196,2013,6,180,20162017,N,19,1,1,2
Mikkel Boedker,--,L,L,1989-12-16,Brondby,--,DNK,DNK,71,207,2008,1,8,20082009,N,81,10,16,26
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,56,2,9,11
Jared Boll,--,R,R,1986-05-13,Charlotte,NC,USA,USA,75,206,2005,4,101,20072008,N,51,0,3,3
Nick Bonino,--,L,C,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,80,18,19,37
Mark Borowiecki,--,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,70,1,2,3
Robert Bortuzzo,NYI,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,38,1,3,4
Reid Boucher,--,L,C,1993-09-08,Lansing,MI,USA,USA,70,195,2011,4,99,20132014,N,39,6,4,10
Lance Bouma,--,L,L,1990-03-25,Provost,AB,CAN,CAN,74,208,2008,3,78,20102011,N,61,3,4,7
Michael Bournival,--,L,L,1992-05-31,Shawinigan,QC,CAN,CAN,71,198,2010,3,71,20132014,N,19,2,1,3
Rene Bourque,--,L,R,1981-12-10,Lac La Biche,AB,CAN,CAN,74,217,--,--,--,20052006,N,65,12,6,18
Jay Bouwmeester,--,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20022003,N,81,1,14,15
Johnny Boychuk,--,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20072008,N,66,6,17,23
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20072008,N,75,13,12,25
Tyler Bozak,--,R,C,1986-03-19,Regina,SK,CAN,CAN,73,187,--,--,--,20092010,N,78,18,37,55
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,81,14,25,39
Justin Braun,--,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,81,4,9,13
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,82,6,30,36
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,68,3,22,25
Kyle Brodziak,--,R,C,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,7,214,20052006,N,69,8,7,15
Troy Brouwer,--,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20062007,N,74,13,12,25
Connor Brown,EDM,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,184,2012,6,156,20152016,N,82,20,16,36
Dustin Brown,--,R,R,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,1,13,20032004,N,80,14,22,36
JT Brown,--,R,R,1990-07-02,Burnsville,MN,USA,USA,70,182,--,--,--,20112012,N,64,3,3,6
Patrick Brown,BOS,R,C,1992-05-29,Bloomfield Hills,MI,USA,USA,73,218,--,--,--,20142015,N,14,0,0,0
Pavel Buchnevich,STL,L,L,1995-04-17,Cherepovets,--,RUS,RUS,73,196,2013,3,75,20162017,N,41,8,12,20
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,209,2013,1,23,20142015,N,64,12,23,35
Alexander Burmistrov,--,L,C,1991-10-21,Kazan,--,RUS,RUS,73,180,2010,1,8,20102011,N,49,5,11,16
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,82,29,47,76
Alexandre Burrows,--,L,R,1981-04-11,Pincourt,QC,CAN,CAN,73,197,--,--,--,20052006,N,75,15,16,31
Dustin Byfuglien,--,R,D,1985-03-27,Roseau,MN,USA,USA,77,260,2003,8,245,20052006,N,80,13,39,52
Paul Byron,--,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,6,179,20102011,N,81,22,21,43
Drake Caggiula,EDM,L,L,1994-06-20,Pickering,ON,CAN,CAN,70,179,--,--,--,20162017,N,60,7,11,18
Ryan Callahan,--,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,18,2,2,4
Matt Calvert,--,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20102011,N,65,10,5,15
Michael Cammalleri,--,L,L,1982-06-08,Toronto,ON,CAN,CAN,69,185,2001,2,49,20022003,N,61,10,21,31
Brian Campbell,--,L,D,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,19992000,N,80,5,12,17
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,217,2015,2,37,20162017,N,82,6,10,16
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,72,9,28,37
Ryan Carpenter,SJS,R,C,1991-01-18,Oviedo,FL,USA,USA,73,198,--,--,--,20152016,N,11,2,2,4
Daniel Carr,--,L,L,1991-11-01,Sherwood Park,AB,CAN,CAN,72,186,--,--,--,20152016,N,33,2,7,9
Connor Carrick,SEA,R,D,1994-04-13,Orland Park,IL,USA,USA,70,198,2012,5,137,20132014,N,67,2,6,8
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,220,2013,2,57,20162017,N,41,5,3,8
Jeff Carter,PIT,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,82,32,34,66
Cody Ceci,EDM,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,79,2,15,17
Peter Cehlarik,--,L,L,1995-08-02,Zilina,--,SVK,SVK,74,202,2013,3,90,20162017,N,11,0,2,2
Michael Chaput,--,L,C,1992-04-09,Ile Bizard,QC,CAN,CAN,74,199,2010,3,89,20132014,N,68,4,5,9
Zdeno Chara,--,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,75,10,19,29
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,59,2,10,12
Alex Chiasson,--,R,R,1990-10-01,Montréal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,81,12,12,24
Jason Chimera,--,L,L,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,5,121,20002001,N,82,20,13,33
Taylor Chorney,--,L,D,1987-04-27,Thunder Bay,ON,CAN,CAN,72,193,2005,2,36,20082009,N,18,1,4,5
Jakob Chychrun,OTT,L,D,1998-03-31,Boca Raton,FL,USA,CAN,74,205,2016,1,16,20162017,N,68,7,13,20
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,59,8,17,25
Fredrik Claesson,--,L,D,1992-11-24,Stockholm,--,SWE,SWE,73,196,2011,5,126,20152016,N,33,3,8,11
Adam Clendening,--,R,D,1992-10-26,Niagara Falls,NY,USA,USA,72,194,2011,2,36,20142015,N,31,2,9,11
Kyle Clifford,TOR,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,218,2009,2,35,20102011,N,73,6,6,12
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,66,5,15,20
Braydon Coburn,--,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,1,8,20052006,N,80,5,7,12
Andrew Cogliano,COL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,82,16,19,35
Joe Colborne,--,L,C,1990-01-30,Calgary,AB,CAN,CAN,77,221,2008,1,16,20102011,N,62,4,4,8
Ian Cole,VAN,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,81,5,21,26
Blake Coleman,CGY,L,C,1991-11-28,Plano,TX,USA,USA,71,199,2011,3,75,20162017,N,23,1,1,2
Blake Comeau,--,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,77,8,12,20
J.T. Compher,DET,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,21,3,2,5
Cory Conacher,--,L,C,1989-12-14,Burlington,ON,CAN,CAN,68,185,--,--,--,20122013,N,11,1,3,4
Erik Condra,--,R,R,1986-08-06,Trenton,MI,USA,USA,71,185,2006,7,211,20102011,N,13,0,0,0
Kevin Connauton,LAK,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,24,0,1,1
Brett Connolly,--,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,198,2010,1,6,20112012,N,66,15,8,23
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,183,2015,1,17,20162017,N,20,2,3,5
Andrew Copp,DET,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,203,2013,4,104,20142015,N,64,9,8,17
Nick Cousins,FLA,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,60,6,10,16
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,1,9,20092010,N,73,25,27,52
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,66,14,20,34
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,82,18,38,56
Adam Cracknell,--,R,R,1985-07-15,Prince Albert,SK,CAN,CAN,75,209,2004,9,279,20102011,N,69,10,6,16
Joseph Cramarossa,--,L,C,1992-10-26,Markham,ON,CAN,CAN,73,190,2011,3,65,20162017,N,59,4,6,10
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,75,44,45,89
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,215,2015,1,11,20162017,N,72,5,7,12
Matt Cullen,--,L,C,1976-11-02,Virginia,MN,USA,USA,73,202,1996,2,35,19971998,N,72,13,18,31
Austin Czarnik,DET,R,C,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20162017,N,49,5,8,13
Klas Dahlbeck,--,L,D,1991-07-06,Katrineholm,--,SWE,SWE,75,207,2011,3,79,20142015,N,43,2,4,6
Trevor Daley,--,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,56,5,14,19
Phillip Danault,LAK,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,200,2011,1,26,20142015,N,82,13,27,40
Marko Dano,--,L,C,1994-11-30,Eisenstadt,--,AUT,SVK,71,201,2013,1,27,20142015,N,38,4,7,11
Laurent Dauphin,--,L,C,1995-03-27,Repentigny,QC,CAN,CAN,72,186,2013,2,39,20152016,N,24,2,1,3
Brandon Davidson,--,L,D,1991-08-21,Taber,AB,CAN,CAN,74,204,2010,6,162,20142015,N,38,0,3,3
Calvin de Haan,TBL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,82,5,20,25
Tony DeAngelo,CAR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20162017,N,39,5,9,14
Danny DeKeyser,--,L,D,1990-03-07,Detroit,MI,USA,USA,75,183,--,--,--,20122013,N,82,4,8,12
Michael Del Zotto,--,L,D,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,51,6,12,18
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,73,194,2011,6,179,20152016,N,25,1,7,8
Jason Demers,--,R,D,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,N,81,9,19,28
David Desharnais,--,L,C,1986-09-14,Laurier-Station,QC,CAN,CAN,67,180,--,--,--,20092010,N,49,6,8,14
Andrew Desjardins,--,L,L,1986-07-27,Lively,ON,CAN,CAN,73,195,--,--,--,20102011,N,46,0,1,1
Nicolas Deslauriers,PHI,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,42,0,2,2
Phillip Di Giuseppe,VAN,L,L,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20152016,N,36,1,6,7
Jason Dickinson,CHI,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20152016,N,10,2,0,2
Brenden Dillon,WPG,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,81,2,8,10
Shane Doan,--,R,R,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,1,7,19951996,N,74,6,21,27
Max Domi,TOR,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,208,2013,1,12,20152016,N,59,9,29,38
Joonas Donskoi,--,R,R,1992-04-13,Raahe,--,FIN,FIN,72,185,2010,4,99,20152016,N,61,6,11,17
Derek Dorsett,--,R,R,1986-12-20,Kindersley,SK,CAN,CAN,72,192,2006,7,189,20082009,N,14,1,3,4
Jake Dotchin,--,R,D,1994-03-24,Cambridge,ON,CAN,CAN,75,210,2012,6,161,20162017,N,35,0,11,11
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,82,12,32,44
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,193,2009,7,198,20152016,N,70,6,16,22
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,82,29,48,77
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,73,21,32,53
Brandon Dubinsky,--,L,C,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,2,60,20062007,N,80,12,29,41
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,73,210,2009,1,3,20092010,N,77,18,23,41
Anthony Duclair,TBL,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,58,5,10,15
Mathew Dumba,TBL,R,D,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,1,7,20132014,N,76,11,23,34
Gabriel Dumont,--,R,C,1990-10-06,Degelis,QC,CAN,CAN,70,195,2009,5,139,20112012,N,39,2,2,4
Brian Dumoulin,SEA,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20132014,N,70,1,14,15
Christian Dvorak,MTL,L,C,1996-02-02,Palos,IL,USA,USA,73,192,2014,2,58,20162017,N,78,15,18,33
Ryan Dzingel,--,L,C,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20152016,N,81,14,18,32
Cody Eakin,--,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,3,85,20112012,N,60,3,9,12
Patrick Eaves,--,R,R,1984-05-01,Calgary,AB,CAN,USA,71,203,2003,1,29,20052006,N,79,32,19,51
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,1,22,20102011,N,82,20,31,51
Alexander Edler,--,L,D,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,68,6,15,21
Joel Edmundson,TOR,L,D,1993-06-28,Brandon,MB,CAN,CAN,77,221,2011,2,46,20152016,N,69,3,12,15
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20152016,N,82,25,39,64
Jack Eichel,VGK,R,C,1996-10-28,North Chelmsford,MA,USA,USA,74,203,2015,1,2,20152016,N,61,24,33,57
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,68,10,11,21
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,82,3,20,23
Oliver Ekman-Larsson,FLA,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,191,2009,1,6,20102011,N,79,12,27,39
Remi Elie,--,L,L,1995-04-16,Cornwall,ON,CAN,CAN,73,215,2013,2,40,20162017,N,18,1,6,7
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,81,12,13,25
Ryan Ellis,PHI,R,D,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,71,16,22,38
Alexei Emelin,--,L,D,1986-04-25,Togliatti,--,RUS,RUS,74,218,2004,3,84,20112012,N,76,2,8,10
Deryk Engelland,--,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20092010,N,81,4,12,16
Tyler Ennis,--,L,R,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,1,26,20092010,N,51,5,8,13
Toby Enstrom,--,L,D,1984-11-05,Nordingra,--,SWE,SWE,70,180,2003,8,239,20072008,N,60,1,13,14
Jonathan Ericsson,--,L,D,1984-03-02,Karlskrona,--,SWE,SWE,76,218,2002,9,291,20072008,N,51,1,8,9
Loui Eriksson,--,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,65,11,13,24
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,15,3,4,7
Adam Erne,EDM,L,L,1995-04-20,New Haven,CT,USA,USA,73,215,2013,2,33,20162017,N,26,3,0,3
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,73,185,2014,1,21,20152016,N,51,11,18,29
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,215,2012,1,13,20152016,N,80,12,21,33
Justin Falk,--,L,D,1988-10-11,Snowflake,MB,CAN,CAN,77,223,2007,4,110,20092010,N,52,0,8,8
Hudson Fasching,NYI,R,R,1995-07-28,Apple Valley,MN,USA,USA,75,209,2013,4,118,20152016,N,10,0,1,1
Jesper Fast,CAR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,68,6,15,21
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,75,17,20,37
Taylor Fedun,PIT,R,D,1988-06-04,Edmonton,AB,CAN,CAN,73,200,--,--,--,20132014,N,27,0,7,7
Eric Fehr,--,R,C,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,1,18,20052006,N,53,6,5,11
Micheal Ferland,--,L,L,1992-04-20,Swan River,MB,CAN,CAN,73,217,2010,5,133,20142015,N,76,15,10,25
Kevin Fiala,LAK,L,L,1996-07-22,St. Gallen,--,CHE,CHE,72,205,2014,1,11,20142015,N,54,11,5,16
Vernon Fiddler,--,L,C,1980-05-09,Edmonton,AB,CAN,CAN,71,205,--,--,--,20022003,N,59,2,2,4
Valtteri Filppula,--,L,C,1984-03-20,Vantaa,--,FIN,FIN,72,189,2002,3,95,20052006,N,79,12,30,42
Mike Fisher,--,R,C,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,2,44,19992000,N,72,18,24,42
Brian Flynn,--,R,C,1988-07-26,Lynnfield,MA,USA,USA,73,185,--,--,--,20122013,N,51,6,4,10
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,N,80,13,10,23
Nick Foligno,CHI,L,L,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,79,26,25,51
Christian Folin,--,R,D,1991-02-09,Gothenburg,--,SWE,SWE,76,204,--,--,--,20132014,N,51,2,6,8
Derek Forbort,BOS,L,D,1992-03-04,Duluth,MN,USA,USA,76,216,2010,1,15,20152016,N,82,2,16,18
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,82,31,27,58
Gustav Forsling,FLA,L,D,1996-06-12,Linkoping,--,SWE,SWE,72,195,2014,5,126,20162017,N,38,2,3,5
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,1,12,20102011,N,80,11,28,39
Cody Franson,--,R,D,1987-08-08,Sicamous,BC,CAN,CAN,77,224,2005,3,79,20092010,N,68,3,16,19
Michael Frolik,--,L,R,1988-02-17,Kladno,--,CZE,CZE,73,186,2006,1,10,20082009,N,82,17,27,44
Marian Gaborik,--,L,R,1982-02-14,Trencin,--,SVK,SVK,73,200,2000,1,3,20002001,N,56,10,11,21
Kurtis Gabriel,--,R,R,1993-04-20,Newmarket,ON,CAN,CAN,78,212,2013,3,81,20152016,N,13,0,1,1
Sam Gagner,EDM,R,C,1989-08-10,London,ON,CAN,CAN,71,200,2007,1,6,20072008,N,81,18,32,50
Alex Galchenyuk,--,L,C,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,1,3,20122013,N,61,17,27,44
Brendan Gallagher,MTL,R,R,1992-05-06,Edmonton,AB,CAN,CAN,69,183,2010,5,147,20122013,N,64,10,19,29
Ryan Garbutt,--,L,C,1985-08-12,Edmonton,AB,CAN,CAN,72,195,--,--,--,20112012,N,27,2,1,3
Jake Gardiner,--,L,D,1990-07-04,Minnetonka,MN,USA,USA,74,203,2008,1,17,20112012,N,82,9,34,43
Jason Garrison,--,L,D,1984-11-13,White Rock,BC,CAN,CAN,73,218,--,--,--,20082009,N,70,1,8,9
Johnny Gaudreau,CBJ,L,L,1993-08-13,Salem,NJ,USA,USA,69,163,2011,4,104,20132014,N,72,18,43,61
