Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Josh Bailey,--,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,70,15,26,41
Keith Ballard,--,L,D,1982-11-26,Baudette,MN,USA,USA,71,204,2002,1,11,20052006,N,14,0,1,1
Mark Barberio,--,L,D,1990-03-23,Montréal,QC,CAN,CAN,73,200,2008,6,152,20122013,N,52,1,6,7
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,71,16,20,36
Tyson Barrie,NSH,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,80,12,41,53
Matt Bartkowski,--,L,D,1988-06-04,Pittsburgh,PA,USA,USA,73,201,2008,7,190,20102011,N,47,0,4,4
Victor Bartley,--,L,D,1988-02-17,Ottawa,ON,CAN,CAN,72,217,--,--,--,20122013,N,37,0,10,10
Jay Beagle,--,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,62,10,10,20
Francois Beauchemin,--,L,D,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,3,75,20022003,N,64,11,12,23
Nathan Beaulieu,--,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,64,1,8,9
Taylor Beck,--,R,L,1991-05-13,St. Catharines,ON,CAN,CAN,74,203,2009,3,70,20122013,N,62,8,8,16
Matt Beleskey,--,L,L,1988-06-07,Windsor,ON,CAN,CAN,72,207,2006,4,112,20082009,N,65,22,10,32
Pierre-Edouard Bellemare,SEA,L,L,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,71,198,--,--,--,20142015,N,81,6,6,12
Brett Bellemore,--,R,D,1988-06-25,Windsor,ON,CAN,CAN,76,225,2007,6,162,20122013,N,49,2,8,10
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,205,2007,5,129,20092010,N,82,35,52,87
Jordie Benn,--,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,201,--,--,--,20112012,N,73,2,14,16
Beau Bennett,--,R,R,1991-11-27,Gardena,CA,USA,USA,74,195,2010,1,20,20122013,N,49,4,8,12
Andre Benoit,--,L,D,1984-01-06,St. Albert,ON,CAN,CAN,71,190,--,--,--,20102011,N,59,1,8,9
Sean Bergenheim,--,L,L,1984-02-08,Helsinki,--,FIN,FIN,71,201,2002,1,22,20032004,N,56,9,10,19
Patrice Bergeron,--,R,C,1985-07-24,L'Ancienne-Lorette,QC,CAN,CAN,73,196,2003,2,45,20032004,N,81,23,32,55
Patrik Berglund,--,L,C,1988-06-02,Västerås,--,SWE,SWE,76,215,2006,1,25,20082009,N,77,12,15,27
Steve Bernier,--,R,R,1985-03-31,Quebec City,QC,CAN,CAN,75,225,2003,1,16,20052006,N,67,16,16,32
Bryan Bickell,--,L,L,1986-03-09,Bowmanville,ON,CAN,CAN,76,223,2004,2,41,20062007,N,80,14,14,28
Danny Biega,--,R,D,1991-09-29,Montréal,QC,CAN,CAN,72,205,2010,3,67,20142015,N,10,0,2,2
Kevin Bieksa,--,R,D,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,20052006,N,60,4,10,14
Nick Bjugstad,ARI,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,209,2010,1,19,20122013,N,72,24,19,43
Mikkel Boedker,--,L,L,1989-12-16,Brondby,--,DNK,DNK,71,207,2008,1,8,20082009,N,45,14,14,28
Zach Bogosian,MIN,R,D,1990-07-15,Massena,NY,USA,USA,75,231,2008,1,3,20082009,N,62,3,17,20
Jared Boll,--,R,R,1986-05-13,Charlotte,NC,USA,USA,75,206,2005,4,101,20072008,N,72,1,4,5
Dave Bolland,--,R,C,1986-06-05,Mimico,ON,CAN,CAN,72,184,2004,2,32,20062007,N,53,6,17,23
Brandon Bollig,--,L,L,1987-01-31,St. Charles,MO,USA,USA,74,220,--,--,--,20112012,N,62,1,4,5
Nick Bonino,--,L,C,1988-04-20,Hartford,CT,USA,USA,73,198,2007,6,173,20092010,N,75,15,24,39
David Booth,--,L,L,1984-11-24,Detroit,MI,USA,USA,72,212,2004,2,53,20062007,N,59,7,6,13
Mark Borowiecki,--,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20112012,N,63,1,10,11
Robert Bortuzzo,NYI,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20112012,N,51,3,5,8
Reid Boucher,--,L,C,1993-09-08,Lansing,MI,USA,USA,70,195,2011,4,99,20132014,N,11,1,0,1
Eric Boulton,--,L,L,1976-08-17,Halifax,NS,CAN,CAN,72,227,1994,9,234,20002001,N,10,2,0,2
Lance Bouma,--,L,L,1990-03-25,Provost,AB,CAN,CAN,74,208,2008,3,78,20102011,N,78,16,18,34
Michael Bournival,--,L,L,1992-05-31,Shawinigan,QC,CAN,CAN,71,198,2010,3,71,20132014,N,29,3,2,5
Gabriel Bourque,--,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,132,20112012,N,69,3,10,13
Rene Bourque,--,L,R,1981-12-10,Lac La Biche,AB,CAN,CAN,74,217,--,--,--,20052006,N,51,6,8,14
Jay Bouwmeester,--,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20022003,N,72,2,11,13
Johnny Boychuk,--,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20072008,N,72,9,26,35
Zach Boychuk,--,L,L,1989-10-04,Airdrie,AB,CAN,CAN,70,185,2008,1,14,20082009,N,31,3,3,6
Brad Boyes,--,R,R,1982-04-17,Mississauga,ON,CAN,CAN,72,199,2000,1,24,20032004,N,78,14,24,38
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20072008,N,82,15,9,24
Dan Boyle,--,R,D,1976-07-12,Ottawa,ON,CAN,CAN,71,194,--,--,--,19981999,N,65,9,11,20
Tyler Bozak,--,R,C,1986-03-19,Regina,SK,CAN,CAN,73,187,--,--,--,20092010,N,82,23,26,49
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,200,2006,1,6,20072008,N,80,19,41,60
Justin Braun,--,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,70,1,22,23
Eric Brewer,--,L,D,1979-04-17,Vernon,BC,CAN,CAN,76,216,1997,1,5,19981999,N,44,3,8,11
Daniel Brière,--,R,C,1977-10-06,Gatineau,QC,CAN,CAN,69,174,1996,1,24,19971998,N,57,8,4,12
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,74,187,2008,4,114,20102011,N,81,11,30,41
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,74,196,2011,1,10,20122013,N,71,3,14,17
Kyle Brodziak,--,R,C,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,7,214,20052006,N,73,9,11,20
Troy Brouwer,--,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20062007,N,82,21,22,43
Dustin Brown,--,R,R,1984-11-04,Ithaca,NY,USA,USA,72,205,2003,1,13,20032004,N,82,11,16,27
JT Brown,--,R,R,1990-07-02,Burnsville,MN,USA,USA,70,182,--,--,--,20112012,N,52,3,6,9
Mike Brown,--,R,R,1985-06-24,Chicago,IL,USA,USA,71,205,2004,5,159,20072008,N,12,0,0,0
Damien Brunner,--,R,R,1986-03-09,Zurich,--,CHE,CHE,71,185,--,--,--,20122013,N,17,2,5,7
Andre Burakovsky,SEA,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,209,2013,1,23,20142015,N,53,9,13,22
Adam Burish,--,R,R,1983-01-06,Madison,WI,USA,USA,73,195,2002,9,282,20062007,N,20,1,2,3
Brent Burns,CAR,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20032004,N,82,17,43,60
Alexandre Burrows,--,L,R,1981-04-11,Pincourt,QC,CAN,CAN,73,197,--,--,--,20052006,N,70,18,15,33
Chris Butler,--,L,D,1986-10-27,St. Louis,MO,USA,USA,73,196,2005,4,96,20082009,N,33,3,6,9
Dustin Byfuglien,--,R,D,1985-03-27,Roseau,MN,USA,USA,77,260,2003,8,245,20052006,N,69,18,27,45
Paul Byron,--,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,164,2007,6,179,20102011,N,57,6,13,19
Ryan Callahan,--,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,77,24,30,54
Matt Calvert,--,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20102011,N,56,13,10,23
Michael Cammalleri,--,L,L,1982-06-08,Toronto,ON,CAN,CAN,69,185,2001,2,49,20022003,N,68,27,15,42
Andrew Campbell,--,L,D,1988-02-04,Caledonia,ON,CAN,CAN,76,205,2008,3,74,20132014,N,33,0,1,1
Brian Campbell,--,L,D,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,19992000,N,82,3,24,27
Gregory Campbell,--,L,C,1983-12-17,London,ON,CAN,CAN,72,188,2002,3,67,20032004,N,70,6,6,12
Daniel Carcillo,--,L,L,1985-01-28,King City,ON,CAN,CAN,72,200,2003,3,73,20062007,N,39,4,4,8
Paul Carey,--,L,C,1988-09-24,Boston,MA,USA,USA,73,196,2007,5,135,20132014,N,10,0,1,1
Matt Carle,--,L,D,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,2,47,20052006,N,59,4,14,18
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,215,2008,1,27,20092010,N,82,12,43,55
Jordan Caron,--,L,R,1990-11-02,Sayabec,QC,CAN,CAN,75,204,2009,1,25,20102011,N,30,0,0,0
Sam Carrick,EDM,R,C,1992-02-04,Markham,ON,CAN,CAN,72,200,2010,5,144,20142015,N,16,1,1,2
Jeff Carter,PIT,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,82,28,34,62
Ryan Carter,--,L,L,1983-08-03,White Bear Lake,MN,USA,USA,73,205,--,--,--,20072008,N,53,3,10,13
Cody Ceci,EDM,R,D,1993-12-21,Ottawa,ON,CAN,CAN,75,210,2012,1,15,20132014,N,81,5,16,21
Michael Chaput,--,L,C,1992-04-09,Ile Bizard,QC,CAN,CAN,74,199,2010,3,89,20132014,N,33,1,4,5
Zdeno Chara,--,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,19971998,N,63,8,12,20
Ben Chiarot,DET,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,224,2009,4,120,20132014,N,40,2,6,8
Alex Chiasson,--,R,R,1990-10-01,Montréal,QC,CAN,CAN,76,208,2009,2,38,20122013,N,76,11,15,26
Jason Chimera,--,L,L,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,5,121,20002001,N,77,7,12,19
Kyle Chipchura,--,L,C,1986-02-19,Westlock,AB,CAN,CAN,74,203,2004,1,18,20072008,N,70,4,10,14
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,194,2009,4,92,20112012,N,70,9,9,18
David Clarkson,--,R,R,1984-03-31,Toronto,ON,CAN,CAN,72,207,--,--,--,20062007,N,61,10,5,15
Daniel Cleary,--,L,R,1978-12-18,Carbonear,NL,CAN,CAN,73,205,1997,1,13,19971998,N,17,1,1,2
Adam Clendening,--,R,D,1992-10-26,Niagara Falls,NY,USA,USA,72,194,2011,2,36,20142015,N,21,1,3,4
Marc-Andre Cliche,--,R,C,1987-03-23,Rouyn-Noranda,QC,CAN,CAN,72,202,2005,2,56,20092010,N,74,2,5,7
Kyle Clifford,TOR,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,218,2009,2,35,20102011,N,80,6,9,15
Grant Clitsome,--,L,D,1985-04-14,Gloucester,ON,CAN,CAN,71,211,2004,9,271,20092010,N,24,0,4,4
Ryane Clowe,--,L,L,1982-09-30,St. John's,NL,CAN,CAN,75,225,2001,6,175,20052006,N,13,1,3,4
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,215,2006,3,72,20072008,N,76,7,9,16
Braydon Coburn,--,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,1,8,20052006,N,43,1,10,11
Andrew Cogliano,COL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,1,25,20072008,N,82,15,14,29
Carlo Colaiacovo,--,L,D,1983-01-27,Toronto,ON,CAN,CAN,73,202,2001,1,17,20022003,N,33,2,6,8
Joe Colborne,--,L,C,1990-01-30,Calgary,AB,CAN,CAN,77,221,2008,1,16,20102011,N,64,8,20,28
Erik Cole,--,L,L,1978-11-06,Oswego,NY,USA,USA,74,205,1998,3,71,20012002,N,68,21,18,39
Ian Cole,VAN,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20102011,N,74,5,12,17
Blake Comeau,--,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20062007,N,61,16,15,31
Cory Conacher,--,L,C,1989-12-14,Burlington,ON,CAN,CAN,68,185,--,--,--,20122013,N,15,1,2,3
Erik Condra,--,R,R,1986-08-06,Trenton,MI,USA,USA,71,185,2006,7,211,20102011,N,68,9,14,23
Kevin Connauton,LAK,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,62,9,12,21
Brett Connolly,--,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,198,2010,1,6,20112012,N,55,12,5,17
Matt Cooke,--,L,L,1978-09-07,Belleville,ON,CAN,CAN,71,216,1997,6,144,19981999,N,29,4,6,10
Frank Corrado,--,R,D,1993-03-26,Toronto,ON,CAN,CAN,72,205,2011,5,150,20122013,N,10,1,0,1
Nick Cousins,FLA,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,186,2011,3,68,20142015,N,11,0,0,0
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,206,2007,1,9,20092010,N,82,27,40,67
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,76,210,2011,1,8,20112012,N,82,15,22,37
Jared Cowen,--,L,D,1991-01-25,Saskatoon,SK,CAN,CAN,77,238,2009,1,9,20092010,N,54,3,6,9
Charlie Coyle,BOS,R,C,1992-03-02,East Weymouth,MA,USA,USA,75,218,2010,1,28,20122013,N,82,11,24,35
Adam Cracknell,--,R,R,1985-07-15,Prince Albert,SK,CAN,CAN,75,209,2004,9,279,20102011,N,17,0,1,1
B.J. Crombeen,--,R,R,1985-07-10,Denver,CO,USA,USA,74,209,2003,2,54,20072008,N,58,3,3,6
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20052006,N,77,28,56,84
Matt Cullen,--,L,C,1976-11-02,Virginia,MN,USA,USA,73,202,1996,2,35,19971998,N,62,7,18,25
Craig Cunningham,--,R,L,1990-09-13,Trail,BC,CAN,CAN,70,184,2010,4,97,20132014,N,51,3,4,7
Klas Dahlbeck,--,L,D,1991-07-06,Katrineholm,--,SWE,SWE,75,207,2011,3,79,20142015,N,23,1,3,4
Trevor Daley,--,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,68,16,22,38
Zac Dalpe,FLA,R,C,1989-11-01,Paris,ON,CAN,CAN,74,193,2008,2,45,20102011,N,21,1,2,3
Marko Dano,--,L,C,1994-11-30,Eisenstadt,--,AUT,SVK,71,201,2013,1,27,20142015,N,35,8,13,21
Pavel Datsyuk,--,L,C,1978-07-20,Sverdlovsk,--,RUS,RUS,71,194,1998,6,171,20012002,N,63,26,39,65
Brandon Davidson,--,L,D,1991-08-21,Taber,AB,CAN,CAN,74,204,2010,6,162,20142015,N,12,1,0,1
Calvin de Haan,TBL,L,D,1991-05-09,Carp,ON,CAN,CAN,73,192,2009,1,12,20112012,N,65,1,11,12
Jacob de la Rose,--,L,L,1995-05-20,Arvika,--,SWE,SWE,75,215,2013,2,34,20142015,N,33,4,2,6
Danny DeKeyser,--,L,D,1990-03-07,Detroit,MI,USA,USA,75,183,--,--,--,20122013,N,80,2,29,31
Michael Del Zotto,--,L,D,1990-06-24,Stouffville,ON,CAN,CAN,72,195,2008,1,20,20092010,N,64,10,22,32
Jason Demers,--,R,D,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,N,81,5,20,25
David Desharnais,--,L,C,1986-09-14,Laurier-Station,QC,CAN,CAN,67,180,--,--,--,20092010,N,82,14,34,48
Andrew Desjardins,--,L,L,1986-07-27,Lively,ON,CAN,CAN,73,195,--,--,--,20102011,N,69,5,5,10
Nicolas Deslauriers,PHI,L,L,1991-02-22,LaSalle,QC,CAN,CAN,73,218,2009,3,84,20132014,N,82,5,10,15
Simon Despres,--,L,D,1991-07-27,Laval,QC,CAN,CAN,76,218,2009,1,30,20112012,N,75,3,20,23
Raphael Diaz,--,R,D,1986-01-09,Baar,--,CHE,CHE,71,197,--,--,--,20112012,N,56,2,2,4
Brenden Dillon,WPG,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20112012,N,80,2,8,10
Shane Doan,--,R,R,1976-10-10,Halkirk,AB,CAN,CAN,73,223,1995,1,7,19951996,N,79,14,22,36
Matt Donovan,--,L,D,1990-05-09,Edmond,OK,USA,USA,73,205,2008,4,96,20112012,N,12,0,3,3
Derek Dorsett,--,R,R,1986-12-20,Kindersley,SK,CAN,CAN,72,192,2006,7,189,20082009,N,79,7,18,25
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,210,2008,1,2,20082009,N,82,7,39,46
Steve Downie,--,R,R,1987-04-03,Newmarket,ON,CAN,CAN,71,191,2005,1,29,20072008,N,72,14,14,28
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,209,2014,1,3,20142015,N,37,2,7,9
Jonathan Drouin,COL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,71,198,2013,1,3,20142015,N,70,4,28,32
Brandon Dubinsky,--,L,C,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,2,60,20062007,N,47,13,23,36
Matt Duchene,DAL,L,C,1991-01-16,Haliburton,ON,CAN,CAN,73,210,2009,1,3,20092010,N,82,21,34,55
Anthony Duclair,TBL,L,L,1995-08-26,Pointe-Claire,QC,CAN,CAN,71,197,2013,3,80,20142015,N,18,1,6,7
Mathew Dumba,TBL,R,D,1994-07-25,Regina,SK,CAN,CAN,72,181,2012,1,7,20132014,N,58,8,8,16
Pascal Dupuis,--,L,R,1979-04-07,Laval,QC,CAN,CAN,73,205,--,--,--,20002001,N,16,6,5,11
Patrick Dwyer,--,R,R,1983-06-22,Spokane,WA,USA,USA,71,175,2002,4,116,20082009,N,71,5,7,12
Cody Eakin,--,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,196,2009,3,85,20112012,N,78,19,21,40
Patrick Eaves,--,R,R,1984-05-01,Calgary,AB,CAN,USA,71,203,2003,1,29,20052006,N,47,14,13,27
Andrew Ebbett,--,L,C,1983-01-02,Vernon,BC,CAN,CAN,69,174,--,--,--,20072008,N,24,1,5,6
Jordan Eberle,SEA,R,R,1990-05-15,Regina,SK,CAN,CAN,71,190,2008,1,22,20102011,N,81,24,39,63
Alexander Edler,--,L,D,1986-04-21,Ostersund,--,SWE,SWE,76,210,2004,3,91,20062007,N,74,8,23,31
Christian Ehrhoff,--,L,D,1982-07-06,Moers,--,DEU,DEU,74,201,2001,4,106,20032004,N,49,3,11,14
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20142015,N,81,12,27,39
Mattias Ekholm,EDM,L,D,1990-05-24,Borlange,--,SWE,SWE,77,225,2009,4,102,20112012,N,80,7,11,18
Oliver Ekman-Larsson,FLA,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,191,2009,1,6,20102011,N,82,23,20,43
Patrik Elias,--,L,C,1976-04-13,Trebic,--,CZE,CZE,73,190,1994,2,51,19951996,N,69,13,21,34
Lars Eller,PIT,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20092010,N,77,15,12,27
Matt Ellis,--,L,L,1981-08-31,Welland,ON,CAN,CAN,72,208,--,--,--,20062007,N,39,1,1,2
Ryan Ellis,PHI,R,D,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,58,9,18,27
Alexei Emelin,--,L,D,1986-04-25,Togliatti,--,RUS,RUS,74,218,2004,3,84,20112012,N,68,3,11,14
Deryk Engelland,--,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20092010,N,76,2,9,11
Tyler Ennis,--,L,R,1989-10-06,Edmonton,AB,CAN,CAN,69,160,2008,1,26,20092010,N,78,20,26,46
Toby Enstrom,--,L,D,1984-11-05,Nordingra,--,SWE,SWE,70,180,2003,8,239,20072008,N,60,4,19,23
Martin Erat,--,L,R,1981-08-29,Trebic,--,CZE,CZE,72,196,1999,7,191,20012002,N,79,9,23,32
Jonathan Ericsson,--,L,D,1984-03-02,Karlskrona,--,SWE,SWE,76,218,2002,9,291,20072008,N,82,3,12,15
Loui Eriksson,--,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,81,22,25,47
Tim Erixon,--,L,D,1991-02-24,Port Chester,NY,USA,SWE,74,200,2009,1,23,20112012,N,42,2,5,7
Emerson Etem,--,L,R,1992-06-16,Long Beach,CA,USA,USA,73,212,2010,1,29,20122013,N,45,5,5,10
Dennis Everberg,--,L,R,1991-12-31,Vasteras,--,SWE,SWE,76,205,--,--,--,20142015,N,55,3,9,12
Justin Falk,--,L,D,1988-10-11,Snowflake,MB,CAN,CAN,77,223,2007,4,110,20092010,N,18,1,1,2
Bobby Farnham,--,L,R,1989-01-21,North Andover,MA,USA,USA,70,190,--,--,--,20142015,N,11,0,0,0
Jesper Fast,CAR,R,R,1991-12-02,Nassjo,--,SWE,SWE,73,191,2010,6,157,20132014,N,58,6,8,14
Justin Faulk,STL,R,D,1992-03-20,South St. Paul,MN,USA,USA,72,214,2010,2,37,20112012,N,82,15,34,49
Mark Fayne,--,R,D,1987-05-15,Nashua,NH,USA,USA,75,209,2005,5,155,20102011,N,74,2,6,8
Eric Fehr,--,R,C,1985-09-07,Winkler,MB,CAN,CAN,76,209,2003,1,18,20052006,N,75,19,14,33
Andrew Ference,--,L,D,1979-03-17,Edmonton,AB,CAN,CAN,71,182,1997,8,208,19992000,N,70,3,11,14
Micheal Ferland,--,L,L,1992-04-20,Swan River,MB,CAN,CAN,73,217,2010,5,133,20142015,N,26,2,3,5
Vernon Fiddler,--,L,C,1980-05-09,Edmonton,AB,CAN,CAN,71,205,--,--,--,20022003,N,80,13,16,29
Valtteri Filppula,--,L,C,1984-03-20,Vantaa,--,FIN,FIN,72,189,2002,3,95,20052006,N,82,12,36,48
Mike Fisher,--,R,C,1980-06-05,Peterborough,ON,CAN,CAN,73,216,1998,2,44,19992000,N,59,19,20,39
Tomas Fleischmann,--,L,L,1984-05-16,Koprivnice,--,CZE,CZE,73,192,2002,2,63,20052006,N,66,8,19,27
Brian Flynn,--,R,C,1988-07-26,Lynnfield,MA,USA,USA,73,185,--,--,--,20122013,N,63,5,12,17
Marcus Foligno,MIN,L,L,1991-08-10,Buffalo,NY,USA,CAN,75,226,2009,4,104,20112012,N,57,8,12,20
Nick Foligno,CHI,L,L,1987-10-31,Buffalo,NY,USA,USA,72,210,2006,1,28,20072008,N,79,31,42,73
Christian Folin,--,R,D,1991-02-09,Gothenburg,--,SWE,SWE,76,204,--,--,--,20132014,N,40,2,8,10
Justin Fontaine,--,R,R,1987-11-06,Bonnyville,AB,CAN,CAN,70,174,--,--,--,20132014,N,71,9,22,31
Filip Forsberg,NSH,R,L,1994-08-13,Ostervala,--,SWE,SWE,73,205,2012,1,11,20122013,N,82,26,37,63
Cam Fowler,ANA,L,D,1991-12-05,Windsor,ON,CAN,USA,74,215,2010,1,12,20102011,N,80,7,27,34
Cody Franson,--,R,D,1987-08-08,Sicamous,BC,CAN,CAN,77,224,2005,3,79,20092010,N,78,7,29,36
Johan Franzen,--,L,R,1979-12-23,Vetlanda,--,SWE,SWE,76,232,2004,3,97,20052006,N,33,7,15,22
Mark Fraser,--,L,D,1986-09-29,Ottawa,ON,CAN,CAN,76,220,2005,3,84,20062007,N,34,0,4,4
Matt Fraser,--,L,R,1990-05-20,Red Deer,AB,CAN,CAN,75,206,--,--,--,20112012,N,60,8,4,12
Michael Frolik,--,L,R,1988-02-17,Kladno,--,CZE,CZE,73,186,2006,1,10,20082009,N,82,19,23,42
Marian Gaborik,--,L,R,1982-02-14,Trencin,--,SVK,SVK,73,200,2000,1,3,20002001,N,69,27,20,47
Simon Gagne,--,L,L,1980-02-29,Ste. Foy,QC,CAN,CAN,73,195,1998,1,22,19992000,N,23,3,1,4
Sam Gagner,EDM,R,C,1989-08-10,London,ON,CAN,CAN,71,200,2007,1,6,20072008,N,81,15,26,41
Alex Galchenyuk,--,L,C,1994-02-12,Milwaukee,WI,USA,USA,73,194,2012,1,3,20122013,N,80,20,26,46
TJ Galiardi,--,L,L,1988-04-22,Calgary,AB,CAN,CAN,74,185,2007,2,55,20082009,N,38,1,0,1
Brendan Gallagher,MTL,R,R,1992-05-06,Edmonton,AB,CAN,CAN,69,183,2010,5,147,20122013,N,82,24,23,47
